species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA,notes,,
Gopher Snake,9/24/2019 18:45,pit fall trap,cf,alive,no,68,72,81,yes,3D6.1D596E570C,28,42,too small,juv,no,,,,,found next to pits ,,
Gopher Snake,6/13/2019 20:09,driving,cf,alive,no,81,104,80,yes,3D6.00184A5F7C,209,84,male,adult,no,,,,,,,
Gopher Snake,5/26/2021,driving,BP,alive,no,70,101,80,yes,3D9.1A4FA10605,291,94.4,female,adult,no,0,0,yes,no, ,,
Gopher Snake,5/18/2022,driving,Grainne,alive,no,72,82,80,no, ,337,92.4,unknown,adult,no,0,0,no,no,Ran over but still alive. Most likely will not survive.,,
Gopher Snake,5/17/2022,incidental,Grainne,alive,no,0,80,80,yes,3D9.1A4FA10698B,373,77.7,male,adult,no,0,0,no,no, ,,
Gopher Snake,5/27/2020,driving,cf,alive,no,69,77,80,no, ,0,0,unknown,adult,no,,,no,no,not captured,,
Gopher Snake,6/11/2019 14:51,driving,cf ,alive,no ,63,75,80,yes,3DD.003D4501FE,427,108,male,adult,no,,,,,Jordan river,,
Gopher Snake,5/27/2020,driving,cf,alive,no,69,74,80,yes,3D6.1D59804866,351,91,female,adult,yes,,,no,no, ,,
Gopher Snake,5/18/2020,incidental,NGS,alive,no,68,69,80,yes,3D6.1D59ABD1D2,292,96,male,adult,no,,,no,no,Snake found basking on the road.,,
Gopher Snake,9/24/2019 18:03,active search,cf,alive,no,68,66,80,No,,13,30,too small,juv,no,,,,,under rock. too small to tag,,
Gopher Snake,5/20/2021,driving,cf,alive,no,64,80,79,yes,3D9.1A4FA10700,334,97.7,male,adult,no,0,0,no,no, ,,
Gopher Snake,6/27/2019 15:51,driving,cf,alive,no ,77,79,79,No,,,,,,no,,,,,on way to hidden valley ,,
Gopher Snake,6/7/2019 0:04,driving,cf,alive,no,72,79,79,yes,3D6.1D596E5708,17,34,,juv,no,,,,,too small to sex,,
Gopher Snake,5/27/2020,active search,NGS,alive,no,78,102,78,yes,3D6.1D59ABD1FC,297,92,male,adult,no,,,no,no,Snake was stretched out still on small rocks and soil. Tried to escape in a nearby hole.,,
Gopher Snake,5/18/2022,driving,TS,alive,no,71,86,78,yes,3D9.1A4FA10700,338,93,male,adult,yes,0,0,no,no,On west side of road headed west,,
Gopher Snake,6/6/2019 23:49,driving,cf,alive,no,72,80,78,yes,3D6.00184A5F8C,239,90,male,adult,no,,,,,orange bucket holes,,
Gopher Snake,5/17/2022,driving,cf,alive,no,66,80,78,yes,3D9.1A4FA1070F,340,84.9,male,adult,no,0,0,no,no,stretched out on road,,
Gopher Snake,5/19/2022,incidental,Grainne,alive,no,0,74,78,yes,3D9.1A4FA10638,265,91.5,male,adult,no,0,0,no,no,Headed north,,
Gopher Snake,5/25/2021,active search,BP,alive,no,63,85,77,yes,3D9.1A4FA10607,235,85.7,male,adult,no,0,0,yes,no,stretched out and stationary along rock,,
Gopher Snake,5/17/2022,driving,TS,alive,no,74,81,77,yes,3D6.1533E8C1BD,12,26,female,juv,no,0,0,no,no,"On East side of road facing West, collected for processing",,
Gopher Snake,5/16/2019 20:45,driving,cf,alive,no,70,80,77,yes,3DD.003D4501B3,355,98,male,,,,,,,white bucket ,,
Gopher Snake,5/16/2019 20:40,driving,cf,alive,no,70,80,77,yes,3DD.003D4501B8,309,103,male,,,,,,,"white bucket, alt pistol",,
Gopher Snake,5/18/2020,active search,NGS,alive,no,68,78,77,yes,3D6.1D59ABD1BB,387,97,female,adult,no,,,no,no,Snake in a tight coil basking with lower half of body exposed head shaded  by artemisia.,,
Gopher Snake,10/1/2021,driving,BP,alive,no,76,89,76,yes,3D9.1A4FA105ED,232,89.7,male,adult,no,0,0,no,no,caught crossing watts rd east of 25m bravo. heading north.,,
Gopher Snake,8/14/2020,driving,NS,alive,no,80,80,76,no, ,0,0,unknown,adult,no,,,no,no, ,,
Gopher Snake,6/5/2019 15:39,driving,cf,alive,no ,68,74,76,No,,16,33,,juvinile ,no,,,,,too small to tag or sex,,
Gopher Snake,6/6/2019 23:15,driving,cf,alive,no,78,76,75,yes,3D6.00184A5F60,169,83,male,adult,no,,,,,,,
Gopher Snake,6/13/2023 18:23,incidental,TS,alive,no,67,76,75,yes,3D6.1533E8C09B,433,113.3,female,adult,no,0,0,no,no,"Next to trail moving northeast; SVO: 98.3 cm, tail: 15.0 cm",,
Gopher Snake,9/2/2020,driving,NS,alive,no,70,75,75,no, ,13,31,unknown,unknown,no,,,no,no,Caught at 856 pm.,,
Gopher Snake,5/16/2019 16:06,driving,cf,alive,no,70,73,75,yes,3D6.1D596E572A,143,83,f,,,,,,,,,
