species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA
Gopher Snake,8/10/2022,reported,TS,alive,no,75,0,0,yes,3D6.1533E8C0A6,36,48.5,male,juv,no,0,0,no,no
Gopher Snake,5/25/2021,driving,cf,alive,no,74,0,0,yes,3D9.1A4FA10712,309,101,male,adult,no,0,0,no,no
Gopher Snake,5/25/2021,driving,cf,alive,no,74,0,0,yes,3D6.1D596E5762,236,95.7,male,adult,yes,0,0,no,no
Gopher Snake,6/21/2022,driving,TS,dead,yes,74,0,0,no, ,20,39,unknown,juv,no,0,0,no,no
Gopher Snake,5/27/2020,incidental,JL,alive,no,73,0,0,no, ,0,0,unknown,unknown,no,,,no,no
Gopher Snake,5/23/2023 20:17,driving,Mahala,alive,no,73,0,0,yes,3D6.1533E8C106,415,99.8,male,adult,no,0,0,no,no
Gopher Snake,6/11/2020,incidental,NS,dead,yes,71,0,0,no, ,0,0,unknown,adult,no,,,no,no
Gopher Snake,4/30/2020,incidental,NGS,alive,no,71,0,0,yes,3D6.1D59ABD1BC,347,95,male,adult,no,,,no,no
Gopher Snake,5/22/2023 21:15,driving,TS,dead,yes,71,0,0,no,,,,unknown,adult,no,0,0,no,no
Gopher Snake,7/22/2020,incidental,NS,dead,yes,70,0,0,no, ,0,0,unknown,unknown,no,,,no,no
Gopher Snake,10/4/2022,driving,cf,alive,no,70,0,0,yes,3D9.1A4FA1066A,100,64.6,female,adult,no,0,0,no,no
Gopher Snake,8/31/2023 15:41,incidental,Liz Bergin,alive,no,70,0,0,no,,,,unknown,adult,no,0,0,no,no
Gopher Snake,5/21/2020,driving,cf,alive,no,69,0,0,no, ,0,0,unknown,juv,no,,,no,no
Gopher Snake,6/23/2020,driving,cf,alive,no,69,0,0,yes,3D6.1533C70106,256,96,male,adult,no,,,no,no
Gopher Snake,6/12/2023 18:30,reported,TS,alive,no,69,0,0,yes,3D6.1533E8C0E7,417,95.8,female,adult,no,0,0,no,no
Gopher Snake,10/16/2023 19:58,driving,cf,alive,no,69,0,0,yes,3D6.1533E8C14D,21,36.1,male,juv,no,0,0,no,no
Gopher Snake,6/12/2023 18:30,reported,TS,alive,no,69,0,0,yes,3D9.1A4FA106F2,461,108.9,male,adult,yes,0,0,no,no
Gopher Snake,9/23/2021,driving,cf,dead,yes,68,0,0,no, , , ,unknown,neonate,no,0,0,no,no
Gopher Snake,9/23/2021,driving,cf,dead,yes,68,0,0,no, , , ,unknown,neonate,no,0,0,no,no
Gopher Snake,9/28/2022,driving,TS,dead,yes,68,0,0,no, , , ,unknown,juv,no,0,0,no,no
Gopher Snake,10/3/2022,driving,cf,alive,no,68,0,0,yes,3D9.1A4FA1068B,188,83.2,male,adult,no,0,0,no,no
Gopher Snake,5/23/2023 16:54,driving,Erin,dead,no,68,0,0,no,,,,unknown,unknown,no,0,0,no,no
Gopher Snake,5/23/2023 16:07,incidental,Mahala,alive,no,67,0,0,yes,3d6.1533e8c0a0,59,51.5,female,juv,no,0,0,no,no
Gopher Snake,5/28/2020,incidental,NGS,alive,no,66,0,0,no, ,0,0,unknown,juv,no,,,no,no
Gopher Snake,5/28/2020,pit fall trap,NGS,alive,no,66,0,0,no, ,0,0,unknown,juv,no,,,no,no
Gopher Snake,8/29/2023 13:20,driving,Liz Bergin,alive,no,66,0,0,no,,,,unknown,unknown,no,0,0,no,no
Gopher Snake,4/29/2020,incidental,NGS,alive,no,64,0,0,yes,3D6.1D59804811,300,100,male,adult,no,,,no,no
Gopher Snake,5/28/2021,driving,cf,dead,yes,64,0,0,no, ,0, ,unknown,juv,no,0,0,no,no
Gopher Snake,5/25/2022,driving,cf,alive,no,64,0,0,yes,3D9.1A4FA106CF,270,79.7,female,adult,no,0,0,no,no
Gopher Snake,5/25/2022,driving,Cf,alive,no,64,0,0,yes,3D9.1A4FA1066D,443,111.8,male,adult,no,0,0,no,no
Gopher Snake,9/6/2023 15:58,driving,cf,alive,no,64,0,0,yes,3D6.1533E8C0AD,44,89.9,male,juv,no,0,0,no,no
Gopher Snake,10/19/2023 18:57,driving,cf,dead,yes,62,0,0,no,,18,33,male,neonate,no,0,0,no,no
Gopher Snake,9/9/2020,incidental,NS,dead,yes,61,0,0,no, ,0,0,unknown,juv,no,,,no,no
Gopher Snake,10/18/2022,driving,DH,alive,no,61,0,0,yes,3D9.1A4FA10664,262,102,female,adult,no,0,0,no,no
Gopher Snake,10/18/2022,driving,cf,alive,no,61,0,0,yes,3D6.1533E8C0A7,88,62.4,male,juv,no,0,0,no,no
Gopher Snake,5/12/2022,incidental,Grainne,alive,no,61,0,0,yes,3D9.1A4FA1066B,318,82.1,male,adult,yes,0,0,no,no
Gopher Snake,10/5/2023 18:14,driving,cf,dead,yes,61,0,0,no,,22,38.1,male,juv,no,0,0,no,no
Gopher Snake,10/5/2023 18:18,driving,cf,alive,no,61,0,0,no,,16,35.2,male,neonate,no,0,0,no,no
Gopher Snake,5/24/2021,driving,FM,alive,no,60,0,0,yes,3D9.1A4FA10687,277,96.5,male,adult,no,0,0,yes,no
